replicate	FC	sequencing depth	precision
rep0	FC13	40M	0.9538462
rep0	FC14	40M	0.8554779
rep0	FC15	20M	0.9387755
rep0	FC15	40M	0.9440215
rep0	FC2	10M	0.9393498
rep0	FC2	20M	0.9817279
rep0	FC2	40M	0.8959244
rep0	FC3	10M	0.9507463
rep0	FC3	20M	0.746513
rep0	FC3	40M	0.908061
rep1	FC12	40M	1
rep1	FC13	40M	0.952381
rep1	FC14	40M	0.8795181
rep1	FC15	10M	1
rep1	FC15	20M	0.9136691
rep1	FC15	40M	0.9404273
rep1	FC2	10M	0.9431042
rep1	FC2	20M	0.9838104
rep1	FC2	40M	0.89712
rep1	FC3	10M	0.9511841
rep1	FC3	20M	0.74365
rep1	FC3	40M	0.9068171
rep2	FC12	40M	1
rep2	FC13	40M	1
rep2	FC14	40M	0.8955916
rep2	FC15	10M	0.9285714
rep2	FC15	20M	0.8882682
rep2	FC15	40M	0.9535055
rep2	FC2	10M	0.9292188
rep2	FC2	20M	0.9857748
rep2	FC2	40M	0.8982193
rep2	FC3	10M	0.9541387
rep2	FC3	20M	0.7369173
rep2	FC3	40M	0.9039986
rep3	FC12	40M	0.8571429
rep3	FC13	40M	0.9782609
rep3	FC14	40M	0.883871
rep3	FC15	10M	1
rep3	FC15	20M	0.9147287
rep3	FC15	40M	0.9405821
rep3	FC2	10M	0.9413989
rep3	FC2	20M	0.9849474
rep3	FC2	40M	0.9020125
rep3	FC3	10M	0.9545298
rep3	FC3	20M	0.744366
rep3	FC3	40M	0.9034626
rep4	FC12	40M	1
rep4	FC13	40M	0.8846154
rep4	FC14	40M	0.854321
rep4	FC15	10M	0.875
rep4	FC15	20M	0.8848485
rep4	FC15	40M	0.9505717
rep4	FC2	10M	0.9397697
rep4	FC2	20M	0.9852604
rep4	FC2	40M	0.9875418
rep4	FC3	10M	0.9536661
rep4	FC3	20M	0.7386487
rep4	FC3	40M	0.9070662
