kmers,replicate,Condition,Signal
13280597,0,case,Enrichment
13238150,1,case,Enrichment
13224424,2,case,Enrichment
13256457,3,case,Enrichment
13240176,4,case,Enrichment
724,0,control,Enrichment
603,1,control,Enrichment
818,2,control,Enrichment
484,3,control,Enrichment
635,4,control,Enrichment
724,0,case,Depletion
603,1,case,Depletion
818,2,case,Depletion
484,3,case,Depletion
635,4,case,Depletion
13280597,0,control,Depletion
13238150,1,control,Depletion
13224424,2,control,Depletion
13256457,3,control,Depletion
13240176,4,control,Depletion
