FC	reads	counts	condition
1.5	10M	7	control
1.5	20M	10	control
1.5	40M	11	control
2	10M	63	control
2	20M	137	control
2	40M	175	control
3	10M	141	control
3	20M	297	control
3	40M	604	control
1.3	40M	2	control
1.4	40M	17	control
1.5	20M	2	control
1.5	40M	30	control
2	10M	63	control
2	20M	162	control
2	40M	194	control
3	10M	172	control
3	20M	391	control
3	40M	819	control
1.2	40M	5	control
1.3	40M	9	control
1.4	40M	4	control
1.5	10M	7	control
1.5	20M	2	control
1.5	40M	23	control
2	10M	36	control
2	20M	168	control
2	40M	148	control
3	10M	154	control
3	20M	329	control
3	40M	485	control
1.2	40M	2	control
1.5	20M	21	control
1.5	40M	19	control
2	10M	49	control
2	20M	199	control
2	40M	294	control
3	10M	223	control
3	20M	285	control
3	40M	636	control
