kmers	comparison	condition
33	noise0_vs_noise1	case
1	noise0_vs_noise1	control
48	noise0_vs_noise2	case
7	noise0_vs_noise2	control
23	noise0_vs_noise3	case
2	noise0_vs_noise3	control
15	noise0_vs_noise4	case
1	noise0_vs_noise4	control
0	noise1_vs_noise2	case
2	noise1_vs_noise2	control
0	noise1_vs_noise3	case
0	noise1_vs_noise3	control
1	noise1_vs_noise4	case
1	noise1_vs_noise4	control
0	noise2_vs_noise3	case
0	noise2_vs_noise3	control
0	noise2_vs_noise4	case
7	noise2_vs_noise4	control
1	noise3_vs_noise4	case
1	noise3_vs_noise4	control
