species,kmers,Sequencing depths,FC,replicate
C.acnes,0,10M,1.5,0
M.restricta,0,10M,1.5,0
S.epidermidis,0,10M,1.5,0
S.pyogenes,0,10M,1.5,0
C.acnes,16,20M,1.5,0
M.restricta,893,20M,1.5,0
S.epidermidis,38,20M,1.5,0
S.pyogenes,0,20M,1.5,0
C.acnes,2855,40M,1.5,0
M.restricta,12855,40M,1.5,0
S.epidermidis,2056,40M,1.5,0
S.pyogenes,19,40M,1.5,0
C.acnes,2031,10M,2,0
M.restricta,11150,10M,2,0
S.epidermidis,1122,10M,2,0
S.pyogenes,34,10M,2,0
C.acnes,180853,20M,2,0
M.restricta,199660,20M,2,0
S.epidermidis,9551,20M,2,0
S.pyogenes,1566,20M,2,0
C.acnes,1967120,40M,2,0
M.restricta,2061664,40M,2,0
S.epidermidis,217464,40M,2,0
S.pyogenes,9656,40M,2,0
C.acnes,1011486,10M,3,0
M.restricta,784312,10M,3,0
S.epidermidis,60978,10M,3,0
S.pyogenes,5311,10M,3,0
C.acnes,2491902,20M,3,0
M.restricta,5041419,20M,3,0
S.epidermidis,1083930,20M,3,0
S.pyogenes,79907,20M,3,0
C.acnes,2529170,40M,3,0
M.restricta,7273877,40M,3,0
S.epidermidis,2403707,40M,3,0
S.pyogenes,1074390,40M,3,0
C.acnes,162,40M,1.4,0
M.restricta,3145,40M,1.4,0
S.epidermidis,365,40M,1.4,0
S.pyogenes,0,40M,1.4,0
C.acnes,6,40M,1.3,0
M.restricta,394,40M,1.3,0
S.epidermidis,6,40M,1.3,0
S.pyogenes,0,40M,1.3,0
C.acnes,0,40M,1.2,0
M.restricta,0,40M,1.2,0
S.epidermidis,0,40M,1.2,0
S.pyogenes,0,40M,1.2,0
C.acnes,0,10M,1.5,1
M.restricta,166,10M,1.5,1
S.epidermidis,0,10M,1.5,1
S.pyogenes,0,10M,1.5,1
C.acnes,0,20M,1.5,1
M.restricta,853,20M,1.5,1
S.epidermidis,78,20M,1.5,1
S.pyogenes,0,20M,1.5,1
C.acnes,2608,40M,1.5,1
M.restricta,13183,40M,1.5,1
S.epidermidis,1998,40M,1.5,1
S.pyogenes,60,40M,1.5,1
C.acnes,2320,10M,2,1
M.restricta,12101,10M,2,1
S.epidermidis,1566,10M,2,1
S.pyogenes,8,10M,2,1
C.acnes,201259,20M,2,1
M.restricta,202862,20M,2,1
S.epidermidis,9328,20M,2,1
S.pyogenes,1458,20M,2,1
C.acnes,2018511,40M,2,1
M.restricta,2069654,40M,2,1
S.epidermidis,210201,40M,2,1
S.pyogenes,8933,40M,2,1
C.acnes,1058808,10M,3,1
M.restricta,778986,10M,3,1
S.epidermidis,59066,10M,3,1
S.pyogenes,4654,10M,3,1
C.acnes,2496701,20M,3,1
M.restricta,5036493,20M,3,1
S.epidermidis,1077211,20M,3,1
S.pyogenes,69847,20M,3,1
C.acnes,2529303,40M,3,1
M.restricta,7273737,40M,3,1
S.epidermidis,2403157,40M,3,1
S.pyogenes,1032489,40M,3,1
C.acnes,75,40M,1.4,1
M.restricta,2415,40M,1.4,1
S.epidermidis,451,40M,1.4,1
S.pyogenes,2,40M,1.4,1
C.acnes,0,40M,1.3,1
M.restricta,220,40M,1.3,1
S.epidermidis,17,40M,1.3,1
S.pyogenes,0,40M,1.3,1
C.acnes,0,40M,1.2,1
M.restricta,22,40M,1.2,1
S.epidermidis,0,40M,1.2,1
S.pyogenes,0,40M,1.2,1
C.acnes,0,10M,1.5,2
M.restricta,95,10M,1.5,2
S.epidermidis,0,10M,1.5,2
S.pyogenes,0,10M,1.5,2
C.acnes,0,20M,1.5,2
M.restricta,997,20M,1.5,2
S.epidermidis,114,20M,1.5,2
S.pyogenes,0,20M,1.5,2
C.acnes,3462,40M,1.5,2
M.restricta,13831,40M,1.5,2
S.epidermidis,1987,40M,1.5,2
S.pyogenes,55,40M,1.5,2
C.acnes,2845,10M,2,2
M.restricta,11333,10M,2,2
S.epidermidis,1293,10M,2,2
S.pyogenes,5,10M,2,2
C.acnes,244594,20M,2,2
M.restricta,217536,20M,2,2
S.epidermidis,9234,20M,2,2
S.pyogenes,1436,20M,2,2
C.acnes,2107856,40M,2,2
M.restricta,2204230,40M,2,2
S.epidermidis,204606,40M,2,2
S.pyogenes,8583,40M,2,2
C.acnes,1173694,10M,3,2
M.restricta,840113,10M,3,2
S.epidermidis,57804,10M,3,2
S.pyogenes,4468,10M,3,2
C.acnes,2507020,20M,3,2
M.restricta,5191406,20M,3,2
S.epidermidis,1060877,20M,3,2
S.pyogenes,66596,20M,3,2
C.acnes,2529328,40M,3,2
M.restricta,7278675,40M,3,2
S.epidermidis,2401767,40M,3,2
S.pyogenes,1015222,40M,3,2
C.acnes,144,40M,1.4,2
M.restricta,2628,40M,1.4,2
S.epidermidis,348,40M,1.4,2
S.pyogenes,0,40M,1.4,2
C.acnes,0,40M,1.3,2
M.restricta,176,40M,1.3,2
S.epidermidis,0,40M,1.3,2
S.pyogenes,0,40M,1.3,2
C.acnes,0,40M,1.2,2
M.restricta,6,40M,1.2,2
S.epidermidis,0,40M,1.2,2
S.pyogenes,0,40M,1.2,2
C.acnes,0,10M,1.5,3
M.restricta,121,10M,1.5,3
S.epidermidis,0,10M,1.5,3
S.pyogenes,0,10M,1.5,3
C.acnes,10,20M,1.5,3
M.restricta,834,20M,1.5,3
S.epidermidis,61,20M,1.5,3
S.pyogenes,0,20M,1.5,3
C.acnes,2320,40M,1.5,3
M.restricta,12961,40M,1.5,3
S.epidermidis,1999,40M,1.5,3
S.pyogenes,60,40M,1.5,3
C.acnes,2331,10M,2,3
M.restricta,11502,10M,2,3
S.epidermidis,1441,10M,2,3
S.pyogenes,6,10M,2,3
C.acnes,210650,20M,2,3
M.restricta,205160,20M,2,3
S.epidermidis,9253,20M,2,3
S.pyogenes,1530,20M,2,3
C.acnes,2042390,40M,2,3
M.restricta,2095695,40M,2,3
S.epidermidis,195508,40M,2,3
S.pyogenes,9298,40M,2,3
C.acnes,1089392,10M,3,3
M.restricta,793109,10M,3,3
S.epidermidis,56104,10M,3,3
S.pyogenes,4732,10M,3,3
C.acnes,2500247,20M,3,3
M.restricta,5070811,20M,3,3
S.epidermidis,1051856,20M,3,3
S.pyogenes,73217,20M,3,3
C.acnes,2529325,40M,3,3
M.restricta,7275421,40M,3,3
S.epidermidis,2401697,40M,3,3
S.pyogenes,1050568,40M,3,3
C.acnes,69,40M,1.4,3
M.restricta,3309,40M,1.4,3
S.epidermidis,375,40M,1.4,3
S.pyogenes,0,40M,1.4,3
C.acnes,0,40M,1.3,3
M.restricta,373,40M,1.3,3
S.epidermidis,0,40M,1.3,3
S.pyogenes,0,40M,1.3,3
C.acnes,0,40M,1.2,3
M.restricta,37,40M,1.2,3
S.epidermidis,0,40M,1.2,3
S.pyogenes,0,40M,1.2,3
C.acnes,0,10M,1.5,4
M.restricta,168,10M,1.5,4
S.epidermidis,0,10M,1.5,4
S.pyogenes,0,10M,1.5,4
C.acnes,16,20M,1.5,4
M.restricta,1332,20M,1.5,4
S.epidermidis,109,20M,1.5,4
S.pyogenes,0,20M,1.5,4
C.acnes,2898,40M,1.5,4
