espece,prop.uniq,Reads,FC,replicate,genome_total_unique_kmers,kmers,prop.uniq,nbre_kmer_unique,recall
C.acnes,0,10M,1.5,0,1643682,0,0,0,0
M.restricta,0,10M,1.5,0,5761020,0,0,0,0
S.epidermidis,0,10M,1.5,0,1497335,0,0,0,0
S.pyogenes,0,10M,1.5,0,1276446,0,0,0,0
C.acnes,0.44,20M,1.5,0,1643682,16,0.44,7.04,4.28306691927027E-06
M.restricta,0.78,20M,1.5,0,5761020,893,0.78,696.54,0.000120905672953748
S.epidermidis,0.13,20M,1.5,0,1497335,38,0.13,4.94,3.29919490294423E-06
S.pyogenes,0,20M,1.5,0,1276446,0,0,0,0
C.acnes,0.7,40M,1.5,0,1643682,2855,0.7,1998.5,0.0012158677895116
M.restricta,0.84,40M,1.5,0,5761020,12855,0.84,10798.2,0.00187435558286553
S.epidermidis,0.16,40M,1.5,0,1497335,2056,0.16,328.96,0.00021969699499444
S.pyogenes,0.74,40M,1.5,0,1276446,19,0.74,14.06,1.10149587213247E-05
C.acnes,0.69,10M,2,0,1643682,2031,0.69,1401.39,0.000852591924715365
M.restricta,0.79,10M,2,0,5761020,11150,0.79,8808.5,0.00152898271486646
S.epidermidis,0.17,10M,2,0,1497335,1122,0.17,190.74,0.000127386323033924
S.pyogenes,0.77,10M,2,0,1276446,34,0.77,26.18,2.05100724981707E-05
C.acnes,0.69,20M,2,0,1643683,180853,0.69,124788.57,0.075920095298181
M.restricta,0.77,20M,2,0,5761021,199660,0.77,153738.2,0.0266859294559072
S.epidermidis,0.33,20M,2,0,1497336,9551,0.33,3151.83,0.00210495840612929
S.pyogenes,0.71,20M,2,0,1276447,1566,0.71,1111.86,0.000871058492832056
C.acnes,0.68,40M,2,0,1643683,1967120,0.68,1337641.6,0.813807528580633
M.restricta,0.79,40M,2,0,5761021,2061664,0.79,1628714.56,0.282712831631754
S.epidermidis,0.61,40M,2,0,1497336,217464,0.61,132653.04,0.0885927006363301
S.pyogenes,0.64,40M,2,0,1276447,9656,0.64,6179.84,0.0048414387749746
C.acnes,0.69,10M,3,0,1643683,1011486,0.69,697925.34,0.424610670062293
M.restricta,0.78,10M,3,0,5761021,784312,0.78,611763.36,0.106190093735121
S.epidermidis,0.56,10M,3,0,1497336,60978,0.56,34147.68,0.0228056227860681
S.pyogenes,0.64,10M,3,0,1276447,5311,0.64,3399.04,0.00266289160458679
C.acnes,0.65,20M,3,0,1643683,2491902,0.65,1619736.3,0.985431071563069
M.restricta,0.79,20M,3,0,5761021,5041419,0.79,3982721.01,0.691322078152466
S.epidermidis,0.62,20M,3,0,1497336,1083930,0.62,672036.6,0.448821506996426
S.pyogenes,0.74,20M,3,0,1276447,79907,0.74,59131.18,0.0463248219471705
C.acnes,0.65,40M,3,0,1643684,2529170,0.65,1643960.5,1.00016821968213
M.restricta,0.79,40M,3,0,5761022,7273877,0.79,5746362.83,0.997455456688067
S.epidermidis,0.62,40M,3,0,1497337,2403707,0.62,1490298.34,0.995299214538878
S.pyogenes,0.76,40M,3,0,1276448,1074390,0.76,816536.4,0.639694213943694
C.acnes,0.41,40M,1.4,0,1643684,162,0.41,66.42,4.04092270777108E-05
M.restricta,0.79,40M,1.4,0,5761022,3145,0.79,2484.55,0.000431268965818912
S.epidermidis,0.18,40M,1.4,0,1497337,365,0.18,65.7,4.38778978947291E-05
S.pyogenes,0,40M,1.4,0,1276448,0,0,0,0
C.acnes,1,40M,1.3,0,1643684,6,1,6,3.65033668272004E-06
M.restricta,0.73,40M,1.3,0,5761022,394,0.73,287.62,4.99251695272124E-05
S.epidermidis,0,40M,1.3,0,1497337,6,0,0,0
S.pyogenes,0,40M,1.3,0,1276448,0,0,0,0
C.acnes,0,40M,1.2,0,1643684,0,0,0,0
M.restricta,0,40M,1.2,0,5761022,0,0,0,0
S.epidermidis,0,40M,1.2,0,1497337,0,0,0,0
S.pyogenes,0,40M,1.2,0,1276448,0,0,0,0
C.acnes,0,10M,1.5,1,1643683,0,0,0,0
M.restricta,0.6,10M,1.5,1,5761021,166,0.6,99.6,1.72886021418773E-05
S.epidermidis,0,10M,1.5,1,1497336,0,0,0,0
S.pyogenes,0,10M,1.5,1,1276447,0,0,0,0
C.acnes,0,20M,1.5,1,1643683,0,0,0,0
M.restricta,0.79,20M,1.5,1,5761021,853,0.79,673.87,0.000116970585595852
S.epidermidis,0.49,20M,1.5,1,1497336,78,0.49,38.22,2.55253329913927E-05
S.pyogenes,0,20M,1.5,1,1276447,0,0,0,0
C.acnes,0.61,40M,1.5,1,1643683,2608,0.61,1590.88,0.000967875192479328
M.restricta,0.78,40M,1.5,1,5761021,121183,0.78,94522.74,0.0164072896106437
S.epidermidis,0.19,40M,1.5,1,1497336,1998,0.19,379.62,0.000253530269759092
S.pyogenes,0.7,40M,1.5,1,1276447,60,0.7,42,3.29038338450402E-05
C.acnes,0.69,10M,2,1,1643683,2320,0.69,1600.8,0.000973910419466527
M.restricta,0.78,10M,2,1,5761021,12101,0.78,9438.78,0.00163838666791876
S.epidermidis,0.13,10M,2,1,1497336,1566,0.13,203.58,0.000135961467566398
S.pyogenes,0,10M,2,1,1276447,8,0,0,0
C.acnes,0.69,20M,2,1,1643684,201259,0.69,138868.71,0.0844862576991685
M.restricta,0.77,20M,2,1,5761022,202862,0.77,156203.74,0.0271138940278305
S.epidermidis,0.34,20M,2,1,1497337,9328,0.34,3171.52,0.00211810701264979
S.pyogenes,0.8,20M,2,1,1276448,1458,0.8,1166.4,0.000913785755471433
C.acnes,0.68,40M,2,1,1643684,2018511,0.68,1372587.48,0.835067738081043
M.restricta,0.79,40M,2,1,5761022,2069654,0.79,1635026.66,0.283808438849912
S.epidermidis,0.61,40M,2,1,1497337,210201,0.61,128222.61,0.085633768483648
S.pyogenes,0.69,40M,2,1,1276448,8933,0.69,6163.77,0.00482884535836948
C.acnes,0.68,10M,3,1,1643684,1058808,0.68,719989.44,0.438033977333843
M.restricta,0.78,10M,3,1,5761022,778986,0.78,607609.08,0.105468974081335
S.epidermidis,0.56,10M,3,1,1497337,59066,0.56,33076.96,0.0220905247115379
S.pyogenes,0.7,10M,3,1,1276448,4654,0.7,3257.8,0.00255223871242698
C.acnes,0.65,20M,3,1,1643684,2496701,0.65,1622855.65,0.987328251659078
M.restricta,0.79,20M,3,1,5761022,5036493,0.79,3978829.47,0.690646463422636
S.epidermidis,0.63,20M,3,1,1497337,1077211,0.63,678642.93,0.453233260114457
S.pyogenes,0.74,20M,3,1,1276448,69847,0.74,51686.78,0.040492664017649
C.acnes,0.65,40M,3,1,1643685,2529303,0.65,1644046.95,1
M.restricta,0.79,40M,3,1,5761023,7273737,0.79,5746252.23,0.997436085570219
S.epidermidis,0.62,40M,3,1,1497338,2403157,0.62,1489957.34,0.995070812334957
S.pyogenes,0.76,40M,3,1,1276449,1032489,0.76,784691.64,0.614745783027759
C.acnes,0.29,40M,1.4,1,1643685,75,0.29,21.75,1.32324624243696E-05
M.restricta,0.79,40M,1.4,1,5761023,2415,0.79,1907.85,0.000331165142024255
S.epidermidis,0.18,40M,1.4,1,1497338,451,0.18,81.18,5.42162157108148E-05
S.pyogenes,1,40M,1.4,1,1276449,2,1,2,1.56684677570353E-06
C.acnes,0,40M,1.3,1,1643685,0,0,0,0
M.restricta,0.77,40M,1.3,1,5761023,220,0.77,169.4,2.94044998605282E-05
S.epidermidis,0,40M,1.3,1,1497338,17,0,0,0
S.pyogenes,0,40M,1.3,1,1276449,0,0,0,0
C.acnes,0,40M,1.2,1,1643685,0,0,0,0
M.restricta,0.73,40M,1.2,1,5761023,22,0.73,16.06,2.7876993374267E-06
S.epidermidis,0,40M,1.2,1,1497338,0,0,0,0
S.pyogenes,0,40M,1.2,1,1276449,0,0,0,0
C.acnes,0,10M,1.5,2,1643684,0,0,0,0
M.restricta,0.7,10M,1.5,2,5761022,95,0.7,66.5,1.15430907918769E-05
S.epidermidis,0,10M,1.5,2,1497337,0,0,0,0
S.pyogenes,0,10M,1.5,2,1276448,0,0,0,0
C.acnes,0,20M,1.5,2,1643684,0,0,0,0
M.restricta,0.78,20M,1.5,2,5761022,997,0.78,777.66,0.000134986465943022
S.epidermidis,0.34,20M,1.5,2,1497337,114,0.34,38.76,2.58859562009087E-05
S.pyogenes,0,20M,1.5,2,1276448,0,0,0,0
C.acnes,0.61,40M,1.5,2,1643684,3462,0.61,2111.82,0.00128480900221697
M.restricta,0.8,40M,1.5,2,5761022,13831,0.8,11064.8,0.00192063144351818
S.epidermidis,0.18,40M,1.5,2,1497337,1987,0.18,357.66,0.000238864063333772
S.pyogenes,0.71,40M,1.5,2,1276448,55,0.71,39.05,3.05927072626539E-05
C.acnes,0.69,10M,2,2,1643684,2845,0.69,1963.05,0.00119429890416893
M.restricta,0.79,10M,2,2,5761022,11333,0.79,8953.07,0.0015540766898651
S.epidermidis,0.13,10M,2,2,1497337,1293,0.13,168.09,0.000112259297673136
S.pyogenes,0,10M,2,2,1276448,5,0,0,0
C.acnes,0.69,20M,2,2,1643685,244594,0.69,168769.86,0.102677739347868
M.restricta,0.78,20M,2,2,5761023,217536,0.78,169678.08,0.0294527690654941
S.epidermidis,0.34,20M,2,2,1497338,9234,0.34,3139.56,0.00209676105194686
S.pyogenes,0.8,20M,2,2,1276449,1436,0.8,1148.8,0.00089999678796411
C.acnes,0.67,40M,2,2,1643685,2107856,0.67,1412263.52,0.859205699388873
M.restricta,0.79,40M,2,2,5761023,2204230,0.79,1741341.7,0.302262584266718
S.epidermidis,0.61,40M,2,2,1497338,204606,0.61,124809.66,0.0833543662152433
S.pyogenes,0.69,40M,2,2,1276449,8583,0.69,5922.27,0.00463964482717288
C.acnes,0.68,10M,3,2,1643685,1173694,0.68,798111.92,0.48556257433754
M.restricta,0.78,10M,3,2,5761023,840113,0.78,655288.14,0.11374510047955
S.epidermidis,0.56,10M,3,2,1497338,57804,0.56,32370.24,0.0216185256769013
S.pyogenes,0.71,10M,3,2,1276449,4468,0.71,3172.28,0.0024852383448144
C.acnes,0.65,20M,3,2,1643685,2507020,0.65,1629563,0.991408329454853
M.restricta,0.79,20M,3,2,5761023,5191406,0.79,4101210.74,0.711889318962969
S.epidermidis,0.63,20M,3,2,1497338,1060877,0.63,668352.51,0.446360481067067
S.pyogenes,0.74,20M,3,2,1276449,66596,0.74,49281.04,0.0386079193136584
C.acnes,0.65,40M,3,2,1643686,2529328,0.65,1644063.2,1
