S	SRR8069701	SRR8069702	SRR8069703	SRR8069704	SRR8069705	SRR8069706	SRR8069707	SRR8069708	SRR8069709	SRR8069710	SRR8069711	SRR8069712	SRR8069713	SRR8069714	SRR8069715	SRR8069716	SRR8069717_kraken_paired_report.txt	SRR8069718	SRR8069719	SRR8069720	SRR8069721	SRR8069722	SRR8069723	SRR8069724	SRR8069725	SRR8069726	SRR8069727	SRR8069728	SRR8069729	SRR8069730	SRR8069731	SRR8069732	SRR8069733	SRR8069734	SRR8069735	SRR8069736	SRR8069737	SRR8069738	SRR8069739	SRR8069740	SRR8069741	SRR8069742	SRR8069743	SRR8069744_kraken_paired_report.txt	SRR8069745	SRR8069746	SRR8069747	SRR8069748	SRR8069749	SRR8069750	SRR8069751	SRR8069752	SRR8069753	SRR8069754	SRR8069755	SRR8069756	SRR8069757	SRR8069758	SRR8069759	SRR8069760	SRR8069761	SRR8069762	SRR8069763_kraken_paired_report.txt	SRR8069764	SRR8069765	SRR8069766	SRR8069767	SRR8069768	SRR8069769_kraken_paired_report.txt	SRR8069770	SRR8069771	SRR8069772	SRR8069773	SRR8069774	SRR8069775	SRR8069776	SRR8069777	SRR8069778	SRR8069779	SRR8069780	SRR8069781	SRR8069782
Cutibacterium acnes	6934642	539272	4337385	1633289	5171974	4916671	41976422	7910223	14006564	946486	830721	21575556	9420080	6427086	472960	1646383	198877	2074788	492518	3637920	4271017	17971080	1040160	232206	5676228	3117852	669759	5461579	1507184	12251024	760316	3354967	2128210	1861749	7652774	1241719	2830064	11061461	9363591	12764085	708139	3730934	2002805	1237217	4386432	1196244	1354064	2263831	590903	4477432	2561706	28363270	293518	1746650	3851774	6927448	14883232	7149324	4741233	1699400	216178	3342456	554723	1315046	221575	6831766	10192519	13270238	273871	843773	15117236	9094618	272941	8127604	6505843	6447109	1360136	6446991	1860959	385033	12168705	1516590
Cutibacterium modestum	710697	108	449	152	1544	1435	3634	794	1424	88	115	3147	824	508	126	130	221	182	103	1795	461	2325	490	174	519	793	95	1077	634	777	188	1287	922	215	1499	121	272	1669	4652	29450	118	597	264	268	617	108	235	936	382	344	6555017	3187	66	272	1050	706	1727	1267	524331	166	170	257	159	212	311	1304	4428	11607	41	143	4700	2899	141	939	1700494	793	341	1593	2881	716	1375	28074
Cutibacterium namnetense	1049	94	500	352	1758	1984	9283	814	5421	112	160	3149	1008	494	115	263	29	219	189	1245	2079	1868	798	228	616	2907	100	1944	632	1086	152	1467	742	200	2553	136	430	4131	1159	9827	119	1145	9741	345	720	159	293	500	209	508	760	3102	31	439	1011	440	1827	5366	2066	448	148	303	77	250	74	1796	1256	5483	34	168	1855	2380	358	1691	2365	3467	639	1943	1374	266	2424	6826
Cutibacterium avidum	816	39	494	116	1118	24102	23824	757	13850	109	284	8139	789	343	341	250	31	159	120	842	4409	1476	479	612	467	17520	45	4275	2044	1224	115	4127	658	232	7904	159	1732	22062	1442	10992	56	1967	7311	507	344	117	175	419	212	292	494	3388	23	3134	515	442	1377	9587	3384	1586	27	250	783	169	44	7074	840	579096	146	6800	1350	3417	781	3515	1030	14014	15879	52788	963	601	5342	22318
Cutibacterium granulosum	450	0	7807	0	5917	97268	1137793	6875	388885	84	882	158633	6679	209	5651	2171	36	239	384	3453	70507	47430	10876	25265	36	382079	56	120892	43726	31715	58	187417	9731	251	253076	82	1047	533740	14286	188536	79	57368	28704	5978	1193	523	42	7263	27	89	4993	22655	227	43812	290	44	1239	243968	115307	47591	169	2164	1624	1482	78	321312	588	501454	2003	26804	2460	135	16607	96524	179	478894	29952	18897	18924	1862	116336	9395
Acidipropionibacterium timonense	50	0	28	0	34	185	2494	26	752	15	119	296	51	0	0	18	0	20	16	45	144	124	23	31	27	624	0	214	62	53	19	266	24	15	259	10	22	781	67	241	0	67	44	21	16	15	28	24	30	0	29	130	0	85	23	12	103	396	222	73	0	0	0	0	0	500	43	606	0	11	54	66	35	122	33	480	36	37	45	31	298	79
Acidipropionibacterium acidipropionici	29	0	27	0	20	127	407	25	440	0	90	183	32	0	0	14	0	0	26	33	89	63	21	12	20	185	0	147	24	47	0	542	84	12	79	14	0	312	52	452	0	42	16	21	12	0	0	40	0	0	50	51	0	91	21	13	115	170	238	132	0	16	0	0	0	189	21	247	0	27	52	0	20	72	23	844	54	61	41	19	140	42
Acidipropionibacterium virtanenii	21	0	15	0	0	67	339	21	234	0	102	67	24	0	10	0	0	0	16	18	54	31	0	10	0	153	0	29	11	11	0	47	0	0	68	0	0	177	19	101	0	25	19	0	0	0	0	15	0	0	0	61	0	16	28	0	134	84	73	15	0	0	0	0	0	74	0	293	0	0	36	0	22	30	0	204	16	24	18	0	59	34
Acidipropionibacterium jensenii	29	0	25	0	36	70	680	31	296	25	0	134	44	0	0	0	0	0	34	39	90	87	0	15	22	228	0	111	30	39	0	95	22	0	76	11	0	374	32	131	0	42	25	0	19	0	0	55	0	22	41	109	0	26	0	27	31	176	102	32	0	0	0	0	0	170	46	325	0	0	81	32	21	64	0	273	41	33	17	32	115	88
Acidipropionibacterium thoenii	17	0	25	0	41	98	408	23	222	0	0	148	25	0	15	0	0	0	14	17	51	60	0	21	0	338	0	73	29	34	0	82	16	0	94	0	0	280	30	423	0	16	46	0	0	0	0	29	0	0	0	61	0	29	0	0	22	153	83	24	0	0	0	0	0	245	0	288	0	0	49	0	0	68	0	219	23	0	30	0	123	41
Propionibacterium sp. oral taxon 192	31	0	0	0	0	18	51	0	27	0	0	13	0	0	0	0	0	0	18	0	12	88	10	0	0	22	0	0	0	0	0	0	0	0	13	0	0	36	19	20	0	0	0	0	0	0	0	10	0	0	0	21	0	0	0	0	0	20	14	0	0	0	0	0	0	22	17	59	0	0	18	0	0	0	0	14	17	0	17	46	19	29
Propionibacterium freudenreichii	11	0	14	0	0	73	145	0	73	0	38	152	0	0	0	0	0	0	33	16	201	50	13	0	19	45	0	26	19	16	0	137	13	17	259	15	0	73	29	29	0	14	15	18	0	0	0	63	0	15	41	47	0	0	0	11	45	107	108	0	0	0	0	18	0	225	14	140	0	0	45	0	11	10	0	32	54	0	23	56	36	395
Propionibacterium acidifaciens	10	0	16	0	0	18	51	0	35	0	0	14	11	0	0	0	0	0	18	0	54	20	13	13	0	56	0	14	0	0	0	26	23	0	10	0	0	38	12	38	0	0	18	0	0	0	0	12	0	0	0	20	0	11	0	12	18	55	28	26	0	0	0	0	0	34	0	63	0	0	13	0	0	15	0	18	16	0	21	47	29	22
Propionibacterium australiense	19	0	0	0	0	0	76	0	41	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	13	0	0	0	10	0	48	18	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	84	29	0	0	0	0	0	0	0	53	0	34	0	0	23	0	21	13	0	55	0	0	16	0	19	0
Tessaracoccus defluvii	23	0	0	0	0	0	37	0	68	0	0	61	0	0	16	0	0	0	18	0	22	34	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	24	0	0	0	18	19	0	0	0	0	0	0	0	0	30	0	21	0	0	24	0	0	16	13	0	0	46	0	0
Tessaracoccus aquimaris	15	0	0	0	0	0	47	0	51	0	0	17	0	0	0	0	0	0	28	0	39	0	0	0	0	23	0	14	0	0	0	0	0	0	0	14	0	14	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	17	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	15	0	0	16	14	27	23
Tessaracoccus flavescens	12	0	0	0	0	20	105	27	33	0	0	18	0	0	0	0	0	0	18	0	26	0	0	0	0	32	0	0	0	0	0	0	0	18	30	0	0	39	0	63	0	0	0	12	0	0	0	14	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	14	0	27	0	28	0	22	0	0	0	21	0	25	0	0	29	27	27	51
Tessaracoccus sp. J1M15	10	0	0	0	0	0	42	0	21	0	0	16	0	0	0	0	0	0	20	0	29	0	0	0	0	12	0	0	0	0	0	0	17	16	0	23	0	24	0	10	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	69	0	0	17	0	0	0	0	0	14	0	0	0	0	0
Arachnia rubra	21	0	0	0	0	13	12	0	11	0	16	17	0	0	0	0	0	0	25	0	34	65	0	0	0	3788	0	0	0	0	0	0	18	0	0	0	0	16	0	0	0	16	11	0	0	0	0	0	0	0	0	12	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	99	0	0	20	0	0	0	0	12	0	0	0	50	10	0
[Pseudopropionibacterium] massiliense	17	0	0	0	0	0	90	0	62	0	41	29	0	0	0	0	0	0	24	0	33	16	0	0	0	1231	0	0	0	0	0	0	0	0	0	0	0	49	0	22	0	0	0	0	0	0	0	0	23	0	42	0	12	0	0	0	52	18	33	0	0	0	0	71	0	20	0	152	0	0	0	0	13	0	0	43	133	0	15	29	164	0
Arachnia propionica	16	0	0	0	0	18	55	0	0	0	0	42	0	0	16	0	0	0	43	12	68	40	20	0	0	1555	0	20	0	0	0	0	0	0	0	19	14	31	0	33	0	0	15	0	0	0	0	37	61	0	10	40	12	0	0	0	13	15	14	0	0	0	0	0	0	23	43	237	0	0	28	0	12	14	0	0	19	0	51	51	18	12
Propionimicrobium sp. Marseille-P3275	22	0	0	0	0	0	29	15	175	0	198	34	11	0	14	10	0	0	29	58	0	35	0	0	0	0	0	0	0	13	0	0	0	0	24	0	0	13	0	0	0	0	0	17	0	0	0	20	0	0	14	35	0	0	0	0	208	12	80	0	0	12	0	0	0	44	37	10	17	0	29	0	0	0	0	0	24	0	20	17	20	0
